Year,Month,Total,of_which_Germany,of_which_Abroad,Abroad_Europe,Abroad_Africa,Abroad_Asia,Abroad_Americas,Abroad_Australia,Abroad_Not_Specified
2026,January,24002,21933,2069,1793,12,127,112,3,22
2026,February,26320,23877,2443,2215,13,89,87,8,31
2025,January,24319,21709,2610,2174,39,61,73,6,257
2025,February,26189,23777,2412,2206,8,56,102,6,34
2025,March,33554,30432,3122,2723,10,140,207,18,24
2025,April,34795,30895,3900,3531,16,130,183,15,25
2025,May,43713,39502,4211,3393,21,164,198,49,386
2025,June,45048,39192,5856,4330,62,162,951,66,285
2025,July,37929,28524,9405,7442,8,149,1494,30,282
2025,August,46341,39803,6538,5575,39,187,347,45,345
2025,September,46163,41857,4306,3624,42,295,270,22,53
2025,October,39488,35970,3518,3065,39,196,167,37,14
2025,November,40200,36065,4135,3339,12,248,241,8,287
2025,December,33525,30838,2687,2305,6,126,184,8,58
2024,January,23919,21399,2520,2336,17,70,71,6,20
2024,February,30078,27155,2923,2708,7,62,114,9,23
2024,March,33832,30831,3001,2775,15,103,87,7,14
2024,April,36639,33169,3470,3121,17,136,118,19,59
2024,May,40114,35748,4366,3948,9,157,183,14,55
2024,June,46016,40742,5274,4803,10,180,229,24,28
2024,July,37014,29216,7798,7414,7,122,219,23,13
2024,August,45592,39388,6204,5852,6,120,180,25,21
2024,September,43130,38906,4224,3826,12,136,152,66,32
2024,October,40966,37038,3928,3487,26,186,113,26,90
2024,November,39373,36067,3306,2614,13,169,130,9,371
2024,December,34509,31601,2908,2378,25,94,104,15,292
2023,January,21295,19318,1977,1821,0,37,57,3,59
2023,February,23606,21503,2103,1947,8,59,58,8,23
2023,March,32461,30048,2413,2188,5,75,108,9,28
2023,April,35478,31460,4018,3770,7,84,102,23,32
2023,May,41893,37342,4551,4146,11,156,178,27,33
2023,June,43804,39194,4610,4194,6,154,195,30,31
2023,July,40654,32165,8489,8108,3,152,177,34,15
2023,August,43673,37036,6637,6182,36,172,190,33,24
2023,September,47114,41942,5172,4735,18,173,180,36,30
2023,October,37903,34196,3707,3363,7,134,148,14,41
2023,November,37104,33009,4095,3749,9,128,167,9,33
2023,December,36778,34045,2733,2489,10,76,102,23,33
2022,January,14836,13810,1026,977,3,13,26,3,4
2022,February,14953,13365,1588,1501,1,28,43,0,15
2022,March,22833,20607,2226,2008,27,51,123,4,13
2022,April,26990,24700,2290,2157,2,33,73,9,16
2022,May,36528,33564,2964,2758,8,28,137,7,26
2022,June,39697,35947,3750,3430,10,105,149,23,33
2022,July,40698,33933,6765,6363,16,148,171,22,45
2022,August,39373,34061,5312,4934,34,145,155,29,15
2022,September,40966,37050,3916,3511,16,140,202,19,28
2022,October,35525,32591,2934,2641,23,119,110,17,24
2022,November,32190,29599,2591,2327,15,116,96,8,29
2022,December,30624,28258,2366,2194,11,53,74,10,24
2021,January,5944,5582,362,350,5,0,3,0,4
2021,February,6194,5724,470,455,4,5,5,0,1
2021,March,8364,7771,593,566,5,5,12,0,5
2021,April,53576,49226,4350,4144,9,24,49,2,122
2021,May,10470,9495,975,937,6,11,16,0,5
2021,June,19891,18665,1226,1128,2,26,31,0,39
2021,July,29015,25877,3138,3071,3,21,41,1,1
2021,August,34369,30821,3548,3422,7,39,72,1,7
2021,September,35891,33459,2432,2312,1,43,75,0,1
2021,October,32200,30041,2159,2051,6,35,57,7,3
2021,November,24377,22554,1823,1747,12,23,30,3,8
2021,December,17272,16064,1208,1127,1,31,44,4,1
