Year,Statistical_District,Male,Female,Total
2025,Rathausviertel,2106,2105,4211
2025,Jakobstraße,993,1147,2140
2025,Krökentorviertel/Breiter Weg NA,1783,1761,3544
2025,Bahnhofsviertel,677,764,1441
2025,Hasselbachplatzviertel,2017,1870,3887
2025,Sternviertel,908,871,1779
2025,Werder,1198,1243,2441
2025,Rotehorn,61,38,99
2025,Großer Werder,232,242,474
2025,Universitätsviertel,966,648,1614
2025,Nordfront,1410,1121,2531
2025,Nordpark,1038,1094,2132
2025,Hohepfortestraße,2503,2429,4932
2025,Neustädter Bahnhof,312,239,551
2025,Wissenschaftshafen,380,234,614
2025,Nicolaiplatz,2381,2402,4783
2025,Moritzplatz,3364,2698,6062
2025,Insleber Straße/Münchenhofstraße,592,341,933
2025,Gröperstraße/Nachtweide,230,152,382
2025,Ohrestraße,173,145,318
2025,Curiesiedlung,1656,1707,3363
2025,Vogelgesang,. ,. ,7
2025,Klosterwuhne,207,209,416
2025,Neustädter Platz,3010,3349,6359
2025,Barleber Straße/Lumumbastraße,2164,1981,4145
2025,Eichenweiler,403,407,810
2025,Neustädter See,8,6,14
2025,Ziolkowskistraße,50,54,104
2025,Barro-See,24,21,45
2025,Hanns-Eisler-Platz/Kannenstieg,2733,2799,5532
2025,Danziger Dorf,230,245,475
2025,Sülzeanger,116,132,248
2025,Gewerbegebiet Neuer Sülzeweg,. ,. ,. 
2025,Neustädter Feld West,1683,1803,3486
2025,Neustädter Feld Ost,1241,1317,2558
2025,Birkenweiler,507,541,1048
2025,Meseberger Weg/Milchweg,1219,1154,2373
2025,Kleiner Silberberg,26,22,48
2025,Milchhof,0,0,0
2025,Sülzegrund Nord,. ,. ,7
2025,Großer Silberberg,0,0,0
2025,Junkerssiedlung,1238,1364,2602
2025,Schäferbrunnen,558,598,1156
2025,Steinkuhle,364,363,727
2025,Lorenzweg/An der Steinkuhle,. ,. ,. 
2025,Alt Olvenstedt Dorf,608,610,1218
2025,Weizengrund,286,316,602
2025,Siedlung Birkenallee,383,402,785
2025,Agrarstraße,16,23,39
2025,Olvenstedter Röthe,571,553,1124
2025,Gneisenauring,2425,2578,5003
2025,Marktbreite,1180,1187,2367
2025,Sternbogen,1831,1658,3489
2025,Fliedergrund,191,228,419
2025,Düppler Mühle,371,386,757
2025,Bördegarten,25,32,57
2025,Krankenhaus Olvenstedt,0,0,0
2025,Damaschkeplatz,420,428,848
2025,Adelheidring,1243,1329,2572
2025,Schellheimerplatz,2662,2552,5214
