Year,Institution,Origin,Students_Total,Students_Male,Students_Female,First_Semester_Total,First_Semester_Male,First_Semester_Female
2024,Magdeburg-Stendal University of Applied Sciences,Saxony-Anhalt,2838,1475,1363,650,337,313
2024,Magdeburg-Stendal University of Applied Sciences,German Citizenship outside Saxony-Anhalt,2339,1290,1049,530,250,280
2024,Magdeburg-Stendal University of Applied Sciences,Afghanistan,12,9,3,5,,
2024,Magdeburg-Stendal University of Applied Sciences,Egypt,15,12,3,5,,
2024,Magdeburg-Stendal University of Applied Sciences,American Samoa,3,,,,,
2024,Magdeburg-Stendal University of Applied Sciences,Albania,,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Algeria,3,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Armenia,3,0,3,,,
2024,Magdeburg-Stendal University of Applied Sciences,Azerbaijan,3,,,,,
2024,Magdeburg-Stendal University of Applied Sciences,Ethiopia,,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Australia,,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Bangladesh,15,,,,,
2024,Magdeburg-Stendal University of Applied Sciences,Belarus,,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Belgium,,,,,,
2024,Magdeburg-Stendal University of Applied Sciences,Burma,5,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Bolivia,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Bosnia and Herzegovina,,,,,,
2024,Magdeburg-Stendal University of Applied Sciences,Brazil,,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Bulgaria,4,4,0,,,
2024,Magdeburg-Stendal University of Applied Sciences,Burundi,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Chile,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,China,38,16,12,18,,
2024,Magdeburg-Stendal University of Applied Sciences,Costa Rica,,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Ecuador,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,El Salvador,,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Eritrea,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Ivory Coast,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Estonia,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Finland,,,,,,
2024,Magdeburg-Stendal University of Applied Sciences,France,3,,,,,
2024,Magdeburg-Stendal University of Applied Sciences,Gabon,,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Georgia,,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Gambia,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Ghana,7,,,,,
2024,Magdeburg-Stendal University of Applied Sciences,Greece,,,,,,
2024,Magdeburg-Stendal University of Applied Sciences,United Kingdom,,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Guadeloupe,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Guinea,,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Honduras,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Hong Kong,,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,India,38,26,12,6,,
2024,Magdeburg-Stendal University of Applied Sciences,Indonesia,5,,,,,
2024,Magdeburg-Stendal University of Applied Sciences,Iraq,6,,,,,
2024,Magdeburg-Stendal University of Applied Sciences,Iran,46,26,20,3,0,3
2024,Magdeburg-Stendal University of Applied Sciences,Iceland,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Italy,4,0,4,,,
2024,Magdeburg-Stendal University of Applied Sciences,Yemen,3,3,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Jordan,50,40,10,29,21,8
2024,Magdeburg-Stendal University of Applied Sciences,Cameroon,6,,,,,
2024,Magdeburg-Stendal University of Applied Sciences,Canada,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Kazakhstan,,,,,,
2024,Magdeburg-Stendal University of Applied Sciences,Kenya,,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Kyrgyzstan,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Colombia,4,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Korea,,,,,,
2024,Magdeburg-Stendal University of Applied Sciences,Kosovo,,,,,,
2024,Magdeburg-Stendal University of Applied Sciences,Kosovo (old),0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Croatia,,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Cuba,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Latvia,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Lebanon,5,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Libya,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Liechtenstein,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Lithuania,,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Luxembourg,0,0,0,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Malaysia,,,,0,0,0
2024,Magdeburg-Stendal University of Applied Sciences,Monaco,0,0,0,0,0,0
