Year,Age_Group,Total,Male,Female,Male_Surplus,Female_Surplus
2025,1,1461,754,707,47.0,0.0
2025,2,1582,812,770,42.0,0.0
2025,3,1712,864,848,16.0,0.0
2025,4,1902,990,912,78.0,0.0
2025,5,2021,1030,991,39.0,0.0
2025,6,2051,1051,1000,51.0,0.0
2025,7,2036,1028,1008,20.0,0.0
2025,8,2123,1054,1069,0.0,15.0
2025,9,2163,1124,1039,85.0,0.0
2025,10,2274,1188,1086,102.0,0.0
2025,11,2152,1089,1063,26.0,0.0
2025,12,2171,1174,997,177.0,0.0
2025,13,2047,1054,993,61.0,0.0
2025,14,2142,1097,1045,52.0,0.0
2025,15,2128,1104,1024,80.0,0.0
2025,16,2043,1023,1020,3.0,0.0
2025,17,1980,1011,969,42.0,0.0
2025,18,2189,1119,1070,49.0,0.0
2025,19,2274,1190,1084,106.0,0.0
2025,20,2614,1406,1208,198.0,0.0
2025,21,2932,1483,1449,34.0,0.0
2025,22,3249,1696,1553,143.0,0.0
2025,23,3201,1669,1532,137.0,0.0
2025,24,3555,1887,1668,219.0,0.0
2025,25,3909,2147,1762,385.0,0.0
2025,26,4027,2263,1764,499.0,0.0
2025,27,3979,2309,1670,639.0,0.0
2025,28,3777,2119,1658,461.0,0.0
2025,29,3825,2220,1605,615.0,0.0
2025,30,3373,1916,1457,459.0,0.0
2025,31,3074,1764,1310,454.0,0.0
2025,32,2947,1717,1230,487.0,0.0
2025,33,2777,1547,1230,317.0,0.0
2025,34,2701,1494,1207,287.0,0.0
2025,35,2961,1635,1326,309.0,0.0
2025,36,3810,2107,1703,404.0,0.0
2025,37,3684,1940,1744,196.0,0.0
2025,38,3704,2012,1692,320.0,0.0
2025,39,3687,2009,1678,331.0,0.0
2025,40,3477,1827,1650,177.0,0.0
2025,41,3406,1822,1584,238.0,0.0
2025,42,3483,1839,1644,195.0,0.0
2025,43,3207,1710,1497,213.0,0.0
2025,44,3277,1726,1551,175.0,0.0
2025,45,3072,1640,1432,208.0,0.0
2025,46,3072,1599,1473,126.0,0.0
2025,47,2929,1555,1374,181.0,0.0
2025,48,2857,1468,1389,79.0,0.0
2025,49,2790,1451,1339,112.0,0.0
2025,50,2461,1259,1202,57.0,0.0
2025,51,2360,1268,1092,176.0,0.0
2025,52,2264,1178,1086,92.0,0.0
2025,53,2334,1180,1154,26.0,0.0
2025,54,2569,1327,1242,85.0,0.0
2025,55,3015,1569,1446,123.0,0.0
2025,56,3023,1558,1465,93.0,0.0
