Year,School_Name,School_Type,School_Category,Ownership_Type,Classes,Students
2023,Hegelstr.,Primary School,General Education School System,Municipal,9,167
2023,Im Nordpark,Primary School,General Education School System,Municipal,12,270
2023,Am Umfassungsweg,Primary School,General Education School System,Municipal,9,176
2023,An der Klosterwuhne,Primary School,General Education School System,Municipal,15,319
2023,Am Vogelgesang,Primary School,General Education School System,Municipal,11,288
2023,Am Kannenstieg,Primary School,General Education School System,Municipal,13,294
2023,Kritzmannstraße,Primary School,General Education School System,Municipal,13,287
2023,Nordwest,Primary School,General Education School System,Municipal,8,157
2023,Alt Olvenstedt,Primary School,General Education School System,Municipal,8,180
2023,Am Fliederhof,Primary School,General Education School System,Municipal,10,227
2023,Am Grenzweg,Primary School,General Education School System,Municipal,15,312
2023,Am Glacis,Primary School,General Education School System,Municipal,8,184
2023,Am Westring,Primary School,General Education School System,Municipal,11,230
2023,Diesdorf,Primary School,General Education School System,Municipal,15,338
2023,Friedenshöhe,Primary School,General Education School System,Municipal,11,224
2023,Ottersleben,Primary School,General Education School System,Municipal,20,442
2023,Lindenhof,Primary School,General Education School System,Municipal,16,366
2023,Am Hopfengarten,Primary School,General Education School System,Municipal,8,179
2023,Buckau,Primary School,General Education School System,Municipal,8,157
2023,Salbke,Primary School,General Education School System,Municipal,10,202
2023,Westerhüsen,Primary School,General Education School System,Municipal,8,151
2023,Am Elbdamm,Primary School,General Education School System,Municipal,8,142
2023,Am Brückfeld,Primary School,General Education School System,Municipal,10,217
2023,Am Pechauer Platz,Primary School,General Education School System,Municipal,13,274
2023,Rothensee,Primary School,General Education School System,Municipal,7,130
2023,St. Mechthild,Primary School,General Education School System,Independent/Private,8,181
2023,Evangelische GS MD,Primary School,General Education School System,Independent/Private,8,167
2023,Dreispr. Internat. GS,Primary School,General Education School System,Independent/Private,12,260
2023,G.W.Leibniz,Community School,General Education School System,Municipal,17,416
2023,W.Weitling,Community School,General Education School System,Municipal,18,432
2023,O.Linke,Community School,General Education School System,Municipal,14,373
2023,J.W.v.Goethe,Community School,General Education School System,Municipal,20,470
2023,E.Wille,Community School,General Education School System,Municipal,16,409
2023,A.W.Francke,Community School,General Education School System,Municipal,18,478
2023,H.Heine,Community School,General Education School System,Municipal,13,301
2023,Th.Mann,Community School,General Education School System,Municipal,12,322
2023,H.Schellheimer Sp.Sek.,Secondary School,General Education School System,Municipal,13,307
2023,Hegel - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,37,921
2023,A. - Einstein - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,37,840
2023,Geschw. - Scholl - Gymnasium,Grammar School (Gymnasium),General Education School System,Municipal,43,1038
2023,Gymnasium W. - v. - Siemens,Grammar School (Gymnasium),General Education School System,Municipal,24,574
2023,Sportgymnasium Magdeburg,Grammar School (Gymnasium),General Education School System,Municipal,26,523
2023,Norbertusgymnasium,Grammar School (Gymnasium),General Education School System,Independent/Private,34,905
2023,Ökumenisches Domgymnasium,Grammar School (Gymnasium),General Education School System,Independent/Private,34,847
2023,"IGS ""W. Brandt""",Integrated Comprehensive School (IGS),General Education School System,Municipal,37,914
2023,"IGS ""Regine Hildebrandt""",Integrated Comprehensive School (IGS),General Education School System,Municipal,47,1119
2023,Comenius,Special Needs School,General Education School System,Municipal,17,191
2023,Salzmann,Special Needs School,General Education School System,Municipal,16,176
2023,Kästner,Special Needs School,General Education School System,Municipal,15,173
2023,Anne Frank,Special Needs School,General Education School System,Municipal,10,117
2023,Regenbogen,Special Needs School,General Education School System,Municipal,14,124
2023,Am Wasserfall,Special Needs School,General Education School System,Municipal,15,123
2023,H. Kükelhaus,Special Needs School,General Education School System,Municipal,12,105
2023,"BbS ""O. v. Guericke"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,120,2522
2023,"BbS ""H. Beims"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,42,621
2023,"BbS ""Eike v. Repgow"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,89,1571
2023,"BbS ""Dr. O. Schlein"" Teilzeit",Vocational School (Part-Time),Vocational School System,Municipal,19,395
2023,"BbS ""O. v. Guericke"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,22,333
2023,"BbS ""H. Beims"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,45,702
2023,"BbS ""Eike v. Repgow"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,3,38
2023,"BbS ""Dr. O. Schlein"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,50,919
2023,Evangelische Sek.,Secondary School,General Education School System,Independent/Private,12,298
2023,Leipziger Straße,Primary School,General Education School System,Municipal,13,272
2023,Freie Waldorfschule,Primary School,General Education School System,Independent/Private,8,188
2023,Freie Waldorfschule,Waldorf School,General Education School System,Independent/Private,17,404
2023,Abendsekundarschule,Evening Secondary School,Schools of Second Education Pathway (Adult Education),Municipal,2,34
2023,Domgrundschule,Primary School,General Education School System,Independent/Private,8,177
2023,Neue Schule,New School,General Education School System,Municipal,13,281
2023,Stadtfeld,Primary School,General Education School System,Municipal,15,308
2023,Th. Müntzer,Community School,General Education School System,Municipal,14,341
