Year,School_Type,School_Category,Schools,Classes,Students
2023,Evening Grammar School,Schools of Second Education Pathway (Adult Education),1,6,52
2023,Evening Secondary School,Schools of Second Education Pathway (Adult Education),1,2,34
2023,Vocational School (Nursing),Vocational School System,1,33,26
2023,Vocational School (Part-Time),Vocational School System,4,270,5109
2023,Vocational School (Full-Time),Vocational School System,4,120,1992
2023,Special Needs School,General Education School System,10,148,1377
2023,Community School,General Education School System,9,142,3542
2023,Primary School,General Education School System,39,409,8784
2023,Grammar School (Gymnasium),General Education School System,9,290,6965
2023,Integrated Comprehensive School (IGS),General Education School System,2,84,2033
2023,Adult Education College (Kolleg),Schools of Second Education Pathway (Adult Education),1,14,192
2023,New School,General Education School System,1,13,281
2023,Secondary School,General Education School System,3,34,787
2023,Waldorf School,General Education School System,1,17,404
2022,Evening Grammar School,Schools of Second Education Pathway (Adult Education),1,3,24
2022,Evening Secondary School,Schools of Second Education Pathway (Adult Education),1,2,60
2022,Vocational School (Nursing),Vocational School System,1,49,35
2022,Vocational School (Part-Time),Vocational School System,4,270,5119
2022,Vocational School (Full-Time),Vocational School System,4,121,2117
2022,Special Needs School,General Education School System,10,147,1333
2022,Community School,General Education School System,9,138,3217
2022,Primary School,General Education School System,39,400,8661
2022,Grammar School (Gymnasium),General Education School System,9,283,6882
2022,Integrated Comprehensive School (IGS),General Education School System,2,85,1982
2022,Adult Education College (Kolleg),Schools of Second Education Pathway (Adult Education),1,6,110
2022,New School,General Education School System,1,12,267
2022,Secondary School,General Education School System,3,32,748
2022,Waldorf School,General Education School System,1,17,403
2021,Evening Grammar School,Schools of Second Education Pathway (Adult Education),1,3,27
2021,Evening Secondary School,Schools of Second Education Pathway (Adult Education),1,3,60
2021,Vocational School (Part-Time),Vocational School System,4,274,5156
2021,Vocational School (Full-Time),Vocational School System,4,118,2059
2021,Special Needs School,General Education School System,10,144,1302
2021,Community School,General Education School System,9,134,3168
2021,Primary School,General Education School System,39,390,8351
2021,Grammar School (Gymnasium),General Education School System,9,271,6456
2021,Integrated Comprehensive School (IGS),General Education School System,2,82,1887
2021,Adult Education College (Kolleg),Schools of Second Education Pathway (Adult Education),1,8,124
2021,New School,General Education School System,1,12,251
2021,Secondary School,General Education School System,3,31,687
2021,Waldorf School,General Education School System,1,25,605
2020,Evening Grammar School,Schools of Second Education Pathway (Adult Education),1,3,26
2020,Evening Secondary School,Schools of Second Education Pathway (Adult Education),1,3,62
2020,Vocational School (Part-Time),Vocational School System,4,266,5068
2020,Vocational School (Full-Time),Vocational School System,4,116,2103
2020,Special Needs School,General Education School System,10,136,1221
2020,Community School,General Education School System,9,135,3194
2020,Primary School,General Education School System,38,379,8078
2020,Grammar School (Gymnasium),General Education School System,9,256,6274
2020,Integrated Comprehensive School (IGS),General Education School System,2,78,1883
2020,Adult Education College (Kolleg),Schools of Second Education Pathway (Adult Education),1,8,129
2020,New School,General Education School System,1,12,249
2020,Secondary School,General Education School System,3,28,649
2020,Waldorf School,General Education School System,1,25,583
2019,Evening Grammar School,Schools of Second Education Pathway (Adult Education),1,3,16
2019,Evening Secondary School,Schools of Second Education Pathway (Adult Education),1,3,62
2019,Vocational School (Part-Time),Vocational School System,4,272,5147
2019,Vocational School (Full-Time),Vocational School System,4,122,2271
2019,Special Needs School,General Education School System,10,127,1152
2019,Community School,General Education School System,9,134,3196
2019,Primary School,General Education School System,37,375,7953
2019,Grammar School (Gymnasium),General Education School System,9,255,6105
2019,Integrated Comprehensive School (IGS),General Education School System,2,82,1953
2019,Adult Education College (Kolleg),Schools of Second Education Pathway (Adult Education),1,8,158
2019,New School,General Education School System,1,11,228
2019,Secondary School,General Education School System,3,26,626
2019,Waldorf School,General Education School System,1,25,583
2018,Evening Grammar School,Schools of Second Education Pathway (Adult Education),1,3,28
2018,Evening Secondary School,Schools of Second Education Pathway (Adult Education),1,3,70
2018,Vocational School (Part-Time),Vocational School System,4,271,5106
2018,Vocational School (Full-Time),Vocational School System,4,115,2223
2018,Special Needs School,General Education School System,10,121,1091
2018,Community School,General Education School System,9,107,2642
2018,Primary School,General Education School System,36,8021,3943
2018,Grammar School (Gymnasium),General Education School System,9,246,5896
2018,Integrated Comprehensive School (IGS),General Education School System,2,83,1993
2018,Adult Education College (Kolleg),Schools of Second Education Pathway (Adult Education),1,6,149
2018,New School,General Education School System,1,11,205
2018,Secondary School,General Education School System,12,50,1112
2018,Waldorf School,General Education School System,1,25,581
2017,Evening Grammar School,Schools of Second Education Pathway (Adult Education),1,3,26
2017,Evening Secondary School,Schools of Second Education Pathway (Adult Education),1,3,62
2017,Vocational School (Part-Time),Vocational School System,4,267,4957
2017,Vocational School (Full-Time),Vocational School System,4,117,2290
2017,Special Needs School,General Education School System,9,118,1024
2017,Community School,General Education School System,9,92,2175
2017,Primary School,General Education School System,36,7766,3893
2017,Grammar School (Gymnasium),General Education School System,8,239,5783
2017,Integrated Comprehensive School (IGS),General Education School System,2,83,1974
2017,Adult Education College (Kolleg),Schools of Second Education Pathway (Adult Education),1,7,149
2017,New School,General Education School System,1,10,180
2017,Secondary School,General Education School System,12,67,1531
2017,Waldorf School,General Education School System,1,25,585
2016,Evening Grammar School,Schools of Second Education Pathway (Adult Education),1,3,26
2016,Evening Secondary School,Schools of Second Education Pathway (Adult Education),1,3,71
