Year,Month,Air_Temp_Average,Air_Temp_Max,Air_Temp_Max_Day,Air_Temp_Min,Air_Temp_Min_Day,Precipitation_Total,Precipitation_Daily_Max,Precipitation_Days_Min_0_1mm,Heavy_Rain_Days_Over_10mm,Average_Relative_Humidity,Sunshine_Duration_Hours,Extreme_Temp_Frost_Days,Extreme_Temp_Severe_Frost_Days,Extreme_Temp_Very_Severe_Frost_Days,Extreme_Temp_Ice_Days,Extreme_Temp_Summer_Days,Extreme_Temp_Hot_Days,Extreme_Temp_Tropical_Nights,Extreme_Temp_Heatwaves,Extreme_Temp_Coldwaves
2025,June,19.2,33.5,22.0,8.4,12.0,37.3,7.3,12,0,65.7,,0,0,0,0,15,3,0,0,0
2025,May,14.1,28.8,2.0,1.2,6.0,41.4,9.4,13,0,65.0,,0,0,0,0,4,0,0,0,0
2025,April,11.8,25.7,16.0,-2.8,6.0,29.7,22.2,7,1,68.3,,1,0,0,0,1,0,0,0,0
2025,March,6.8,19.8,21.0,-5.6,18.0,3.9,3.0,4,0,68.9,,12,0,0,0,0,0,0,0,0
2025,February,1.6,14.1,25.0,-12.8,18.0,18.2,4.9,9,0,83.2,,18,3,0,2,0,0,0,0,0
2025,January,2.6,14.6,25.0,-6.5,14.0,51.5,14.0,18,2,86.3,,14,0,0,4,0,0,0,0,0
2024,December,4.2,14.4,19.0,-3.9,1.0,36.8,10.3,19,1,87.9,12.3,10,0,0,1,0,0,0,0,0
2024,November,6.1,15.7,25.0,-1.4,30.0,32.9,15.3,18,1,85.4,37.2,2,0,0,0,0,0,0,0,0
2024,October,11.9,20.7,8.0,1.9,12.0,40.2,11.3,12,2,85.2,119.5,0,0,0,0,0,0,0,0,0
2024,September,17.4,33.7,4.0,6.1,29.0,74.9,27.4,12,3,68.9,208.2,0,0,0,0,11,6,0,0,0
2024,August,21.4,34.4,29.0,9.2,26.0,34.5,12.6,12,2,65.8,260.4,0,0,0,0,21,7,0,0,0
2024,July,20.0,33.2,21.0,10.2,4.0,71.6,21.7,15,2,68.2,229.1,0,0,0,0,19,7,0,0,0
2024,June,17.9,32.1,26.0,7.5,13.0,50.4,20.4,16,1,70.2,222.4,0,0,0,0,10,3,0,0,0
2024,May,17.1,27.5,15.0,4.3,9.0,68.5,30.3,10,3,66.1,233.9,0,0,0,0,10,0,0,0,0
2024,April,11.6,27.3,30.0,-2.2,22.0,23.1,6.1,15,0,70.5,151.3,3,0,0,0,2,0,0,0,0
2024,March,8.2,21.3,30.0,-1.0,8.0,22.3,8.8,11,0,75.5,131.1,1,0,0,0,0,0,0,0,0
2024,February,7.5,16.7,16.0,-1.1,8.0,56.9,10.1,19,1,81.8,58.8,4,0,0,0,0,0,0,0,0
2024,January,2.2,12.7,24.0,-11.4,10.0,41.4,15.0,16,1,80.7,73.2,15,2,0,5,0,0,0,0,0
2023,December,4.9,13.2,24.0,-5.6,3.0,89.4,13.2,22,3,84.5,25.1,8,0,0,3,0,0,0,0,0
2023,November,6.5,14.4,1.0,-4.1,30.0,57.0,13.4,21,1,83.2,56.0,6,0,0,0,0,0,0,0,0
2023,October,12.8,26.7,2.0,-0.1,18.0,99.1,12.8,25,2,83.9,81.2,1,0,0,0,1,0,0,0,0
2023,September,18.4,31.3,11.0,7.2,26.0,22.8,12.3,6,1,72.6,246.6,0,0,0,0,17,6,0,0,0
2023,August,19.7,33.3,19.0,10.1,10.0,114.0,53.4,15,3,74.0,196.4,0,0,0,0,14,3,0,0,0
2023,July,19.9,34.7,15.0,10.2,7.0,43.1,15.1,13,1,63.7,239.0,0,0,0,0,17,4,0,0,0
2023,June,19.6,31.8,26.0,4.2,3.0,99.9,34.1,13,3,62.8,252.9,0,0,0,0,19,3,0,0,0
2023,May,14.3,27.9,21.0,1.2,3.0,4.4,1.9,4,0,62.6,256.7,0,0,0,0,4,0,0,0,0
2023,April,8.6,22.5,22.0,-2.7,3.0,46.1,9.7,16,0,71.6,163.2,6,0,0,0,0,0,0,0,0
2023,March,6.4,18.8,18.0,-5.2,1.0,64.4,12.5,23,2,78.4,85.8,7,0,0,0,0,0,0,0,0
2023,February,4.1,14.9,17.0,-6.1,7.0,33.4,11.4,12,1,82.4,75.4,12,0,0,1,0,0,0,0,0
2023,January,4.9,15.7,2.0,-3.6,20.0,39.8,11.6,18,1,83.0,35.6,9,0,0,0,0,0,0,0,0
2022,December,2.0,18.1,31.0,-11.8,15.0,59.5,14.1,21,1,88.8,27.3,14,3,0,10,0,0,0,0,0
2022,November,6.4,19.3,1.0,-6.2,19.0,35.5,12.5,12,1,85.7,88.6,5,0,0,0,0,0,0,0,0
2022,October,13.5,25.8,17.0,2.2,12.0,40.9,9.7,11,0,80.0,155.8,0,0,0,0,2,0,0,0,0
2022,September,14.7,28.0,5.0,4.0,30.0,41.6,17.0,15,1,72.2,157.6,0,0,0,0,4,0,0,0,0
2022,August,21.5,37.7,4.0,9.4,7.0,19.1,7.1,9,0,61.4,260.7,0,0,0,0,24,8,0,0,0
2022,July,20.2,38.2,20.0,9.0,28.0,25.2,6.5,10,0,57.0,261.1,0,0,0,0,18,7,0,0,0
2022,June,20.1,33.4,19.0,6.6,3.0,18.3,9.7,8,0,59.3,296.1,0,0,0,0,22,6,0,0,0
2022,May,15.7,28.9,11.0,3.9,9.0,27.5,7.0,13,0,64.4,247.2,0,0,0,0,5,0,0,0,0
2022,April,8.8,22.4,13.0,-5.4,3.0,30.8,9.8,9,0,67.5,180.1,5,0,0,0,0,0,0,0,0
2022,March,5.6,18.7,23.0,-4.1,3.0,2.8,2.1,3,0,63.5,232.7,19,0,0,0,0,0,0,0,0
2022,February,5.6,13.7,14.0,-3.2,27.0,44.7,11.8,19,1,78.0,81.0,6,0,0,0,0,0,0,0,0
2022,January,4.3,13.8,1.0,-2.0,16.0,20.5,3.9,17,0,86.0,31.7,7,0,0,0,0,0,0,0,0
2021,December,2.9,14.8,31.0,-12.6,26.0,22.1,7.3,12,0,89.1,42.5,17,2,0,2,0,0,0,0,0
2021,November,6.6,13.1,9.0,-1.9,28.0,35.8,25.6,10,1,86.5,43.1,3,0,0,0,0,0,0,0,0
