Year,Annual_Average_Air_Temperature,Normal_Annual_Average_Air_Temperature_1961_1990,Air_Temperature_Deviation_From_Normal,Absolute_Highest_Air_Temperature_Year,Absolute_Lowest_Air_Temperature_Year,Hot_Days_Count_Max_Over_30C,Summer_Days_Count_Max_Over_25C,Ice_Days_Count_Max_Under_0C,Frost_Days_Count_Min_Under_0C,Severe_Frost_Days_Count_Min_Under_Minus10C,Annual_Total_Sunshine_Duration_Hours,Annual_Total_Precipitation_Amount_mm,Normal_Annual_Total_Precipitation_11961_1990,Annual_Precipitation_Percentage_Of_Normal,Absolute_Highest_Daily_Precipitation_Year,Precipitation_Days_Count_Over_0_1mm,Precipitation_Days_As_Snow_Or_Solid_Count,Snow_Cover_Days_Count_Over_1cm,Annual_Average_Relative_Humidity_Percentage,Annual_Average_Cloud_Cover_Octas,Clear_Days_Count_Cloud_Cover_Under_1_6_Octas,Cloudy_Days_Count_Cloud_Cover_Over_6_4_Octas,Foggy_Days_Count_Visibility_Under_1000m,Thunderstorm_Days_Count,Annual_Average_Wind_Force_Beaufort,Annual_Average_Atmospheric_Pressure_Station_Level_hPa
2024,12.1,8.7,3.4,34.4,11.4,23,73,6,35,2,1725.12,553.5,494,112,30.3,175,,15,76,5.4,28,147,,,2,1004.8
2023,11.7,8.7,3.0,34.7,6.1,16,72,4,49,0,1711.35,713.4,494,144,53.4,188,,12,75,5.7,22,187,,,2,1004.2
2022,11.5,8.7,2.8,38.2,11.8,21,75,10,56,3,2016.64,366.4,494,74,17.0,147,,5,72,5.4,29,150,,,2,1007.1
2021,10.2,8.7,1.5,34.6,17.6,8,47,15,70,11,1565.71,480.8,494,97,27.7,158,,22,77,5.9,17,176,,,2,1005.5
2020,11.6,8.7,2.9,35.6,5.5,16,61,0,35,0,1933.1,456.6,494,92,45.6,158,11,0,72,5.3,39,161,,,2,1005.7
2019,11.5,8.7,2.8,37.3,7.5,23,69,4,46,0,1959.4,464.5,494,94,28.1,170,27,7,71,5.5,34,155,,25,2,1004.5
2018,11.5,8.7,2.8,37.3,12.5,29,94,9,66,5,2165.1,374.6,494,76,30.3,134,20,11,71,5.2,20,148,11,19,1,1005.9
2017,10.6,8.7,1.9,32.1,10.1,6,43,13,57,1,1531.4,493.0,494,100,32.0,194,16,28,78,6.3,15,150,26,19,2,1005.9
2016,10.7,8.7,1.9,36.5,13.9,16,62,10,73,4,1720.3,390.8,494,79,50.7,165,21,17,75,5.5,16,149,26,15,2,1008.4
2015,10.8,8.7,2.1,38.1,6.8,17,48,1,55,0,1829.5,512.5,494,104,33.4,172,19,11,75,5.6,16,150,23,22,2,1007.3
2014,11.2,8.7,2.4,34.4,12.7,10,42,14,47,2,1659.4,545.5,494,110,56.9,173,12,17,79,5.7,16,150,42,21,2,1004.3
2013,9.7,8.7,1.0,36.3,13.6,14,49,21,92,4,1542.9,577.8,494,117,31.2,176,47,57,78,5.8,14,155,28,15,2,1005.4
